month,trip_id,vehicle_id,started_at,ended_at,duration,start_location_name,end_location_name,user_id,trip_ledger_id
May,1636714,8926493,2019-05-24 13:38:00,5/24/2019 13:41,0:03:06,"401 2nd St NW, Albuquerque, NM 87102, USA","401 2nd St NW, Albuquerque, NM 87102, USA",35436274,1511212
May,1636780,3902020,2019-05-24 13:52:00,5/24/2019 14:13,0:21:27,"520 Central Ave SW, Albuquerque, NM 87102, USA","3217 Pershing Ave SE, Albuquerque, NM 87106, USA",34352757,1511371
May,1636856,5192526,2019-05-24 14:04:00,5/24/2019 14:34,0:30:43,"330 Tijeras Ave NW, Albuquerque, NM 87102, USA","809 Copper Ave NW, Albuquerque, NM 87102, USA",35466666,1511483
May,1636912,3902020,2019-05-24 14:14:00,5/24/2019 14:15,0:01:05,"3217 Pershing Ave SE, Albuquerque, NM 87106, USA","802 Wellesley Dr SE, Albuquerque, NM 87106, USA",34352757,1511390
May,1637035,5192526,2019-05-24 14:37:00,5/24/2019 14:43,0:05:33,"809 Copper Ave NW, Albuquerque, NM 87102, USA","809 Copper Ave NW, Albuquerque, NM 87102, USA",35466666,1511516
May,1637036,9885684,2019-05-24 14:38:00,5/24/2019 15:09,0:31:54,"2901 Central Ave NE, Albuquerque, NM 87106, USA","2000 Zearing Ave NW, Albuquerque, NM 87104, USA",34352757,1511666
May,1637075,5192526,2019-05-24 14:45:00,5/24/2019 14:48,0:03:34,"809 Copper Ave NW, Albuquerque, NM 87102, USA","809 Copper Ave NW, Albuquerque, NM 87102, USA",35466666,1511544
May,1637120,5192526,2019-05-24 14:52:00,5/24/2019 14:58,0:05:40,"809 Copper Ave NW, Albuquerque, NM 87102, USA","809 Copper Ave NW, Albuquerque, NM 87102, USA",35466666,1511610
May,1637212,3203954,2019-05-24 15:05:00,5/24/2019 15:21,0:16:37,"423 Central Ave NE, Albuquerque, NM 87102, USA","512 Central Ave SE, Albuquerque, NM 87102, USA",35490582,1511765
May,1637299,3027855,2019-05-24 15:16:00,5/24/2019 15:36,0:20:12,"1898 Mountain Rd NW, Albuquerque, NM 87104, USA","824 Stover Ave SW, Albuquerque, NM 87102, USA",34352757,1511876
May,1637378,4335950,2019-05-24 15:27:00,5/24/2019 15:31,0:03:51,"400 Marquette Ave NW, Albuquerque, NM 87102, USA","5th @ Marquette, Albuquerque, NM 87102, USA",35493806,1511834
May,1637409,4011047,2019-05-24 15:31:00,5/24/2019 15:33,0:02:03,"101 State Hwy 313, Albuquerque, NM 87102, USA","400 Gold Ave SW, Albuquerque, NM 87102, USA",31624602,1511854
May,1637414,7044335,2019-05-24 15:32:00,5/24/2019 15:33,0:01:10,"400 Marquette Ave NW, Albuquerque, NM 87102, USA","5th @ Marquette, Albuquerque, NM 87102, USA",35493806,1511847
May,1637455,7939544,2019-05-24 15:36:00,5/24/2019 15:55,0:19:03,"401 3rd St NW, Albuquerque, NM 87102, USA","220 Gold Ave SW, Albuquerque, NM 87102, USA",35495918,1512023
May,1637468,8926493,2019-05-24 15:38:00,5/24/2019 15:52,0:14:20,"401 2nd St NW, Albuquerque, NM 87102, USA","224 Gold Ave SW, Albuquerque, NM 87102, USA",35492487,1511996
May,1637528,6893735,2019-05-24 15:45:00,5/24/2019 15:49,0:04:03,"301 Central Ave NE, Albuquerque, NM 87102, USA","411 Central Ave NE, Albuquerque, NM 87102, USA",35498655,1511970
May,1637626,8636158,2019-05-24 15:54:00,5/24/2019 16:06,0:11:42,"401 3rd St NW, Albuquerque, NM 87102, USA","401 3rd St NW, Albuquerque, NM 87102, USA",35466666,1512127
May,1637682,3972385,2019-05-24 15:59:00,5/24/2019 15:59,0:00:33,"401 3rd St NW, Albuquerque, NM 87102, USA","401 3rd St NW, Albuquerque, NM 87102, USA",35275216,1512061
May,1637789,6893735,2019-05-24 16:08:00,5/24/2019 16:13,0:04:54,"400 Central Ave SE, Albuquerque, NM 87102, USA","411 Central Ave NE, Albuquerque, NM 87102, USA",35498655,1512205
May,1637820,8479151,2019-05-24 16:11:00,5/24/2019 16:42,0:30:49,"401 2nd St NW, Albuquerque, NM 87102, USA","401 3rd St NW, Albuquerque, NM 87102, USA",35503988,1512517
